X,Y,Sno,Wardno Nam,Latitude,Longitude,Category,type,me,icon_url
70.5119590066051,0.000157161656546,"3831",17-KHAIRATABAD,17.424875900000000,78.456404599999999,HOSPITALS,"6","50",./0.png
70.5119590004678,0.000157142795488,"3832",17-KHAIRATABAD,17.421292800000000,78.456728799999993,HOSPITALS,"6","50",./0.png
70.5119589692192,0.000157134903239,"3833",17-KHAIRATABAD,17.421909700000000,78.452231600000005,HOSPITALS,"6","6",./0.png
70.5119590782503,0.000156996295165,"3834",17-KHAIRATABAD,17.406541900000001,78.464401600000002,HOSPITALS,"6","20",./0.png
70.5119590491837,0.000156973493252,"3835",17-KHAIRATABAD,17.404013800000001,78.461157200000002,HOSPITALS,"6","20",./0.png
70.5119590442867,0.000156989940099,"3836",17-KHAIRATABAD,17.405837300000002,78.460610599999995,HOSPITALS,"6","20",./0.png
70.511959053588,0.000156993721027,"3837",17-KHAIRATABAD,17.406256500000001,78.461648800000006,HOSPITALS,"6","20",./0.png
70.5119589556088,0.000157115980895,"3838",17-KHAIRATABAD,17.420135299999998,78.457405399999999,HOSPITALS,"6","6",./0.png
70.5119589622675,0.000157112805485,"3839",17-KHAIRATABAD,17.420373399999999,78.457490000000007,HOSPITALS,"6","6",./0.png
70.5119590442755,0.0001571307995,"3840",17-KHAIRATABAD,17.421556500000001,78.460120900000007,HOSPITALS,"6","50",./0.png
70.5119590136854,0.000157157253284,"3841",17-KHAIRATABAD,17.424387700000000,78.457194900000005,HOSPITALS,"6","50",./0.png
70.5119590601191,0.000156966198377,"3842",17-KHAIRATABAD,17.403205000000000,78.462377799999999,HOSPITALS,"6","20",./0.png
70.5119590656002,0.000156983212545,"3843",17-KHAIRATABAD,17.405091400000000,78.462989600000000,HOSPITALS,"6","20",./0.png
70.5119590829466,0.000157002617754,"3844",17-KHAIRATABAD,17.407242900000000,78.464925800000003,HOSPITALS,"6","20",./0.png
70.5119590736149,0.000157029696651,"3845",17-KHAIRATABAD,17.410245199999999,78.463884199999995,HOSPITALS,"6","6",./0.png
70.5119589745337,0.000157069055378,"3846",17-KHAIRATABAD,17.417259300000001,78.462030200000001,HOSPITALS,"6","30",./0.png
70.5119589629684,0.000157092694548,"3847",17-KHAIRATABAD,17.418845399999999,78.462229199999996,HOSPITALS,"6","6",./0.png
70.5119589675244,0.000157091636078,"3850",17-KHAIRATABAD,17.418643899999999,78.458175600000004,HOSPITALS,"6","6",./0.png
70.511958998672,0.000157043013756,"3851",17-KHAIRATABAD,17.418173800000002,78.457999400000006,HOSPITALS,"6","6",./0.png
70.5119589776878,0.000157072936437,"3852",17-KHAIRATABAD,17.418101199999999,78.457123300000006,HOSPITALS,"6","30",./0.png
70.51195897173,0.000157073642083,"3853",17-KHAIRATABAD,17.415271000000001,78.457812000000004,HOSPITALS,"6","30",./0.png
70.511958998672,0.000157043013756,"3854",17-KHAIRATABAD,17.411721700000001,78.455519100000004,HOSPITALS,"6","6",./0.png
70.5119589955614,0.000157185487126,"3855",17-KHAIRATABAD,17.421047699999999,78.455929400000002,HOSPITALS,"6","6",./0.png
70.5119589554671,0.000157134948333,"3856",17-KHAIRATABAD,17.421914699999999,78.450696600000001,HOSPITALS,"6","6",./0.png
70.5119589462922,0.000157136063127,"3857",17-KHAIRATABAD,17.422038300000001,78.449672500000005,HOSPITALS,"6","6",./0.png
70.5119589873818,0.000157168810717,"3858",17-KHAIRATABAD,17.425669100000000,78.454258899999999,HOSPITALS,"6","6",./0.png
70.5119589729909,0.000157156926773,"3859",17-KHAIRATABAD,17.424351500000000,78.452652599999993,HOSPITALS,"6","6",./0.png
70.5119589623888,0.00015716637638,"3861",17-KHAIRATABAD,17.425399200000001,78.451469200000005,HOSPITALS,"6","6",./0.png
